zone09  Latitude        Longitude
1       41.89457679280  -87.64530747770
2       41.89464672260  -87.64042628850
3       41.89471289300  -87.63551301540
4       41.89476770920  -87.63062889530
5       41.89483043620  -87.62579253650
6       41.89490040330  -87.62094432400
7       41.89306124730  -87.61034233020
8       41.89093504040  -87.64519056000
9       41.89099592080  -87.64030158560
10      41.89106347050  -87.63541996760
11      41.89111662500  -87.63053432640
12      41.89117729250  -87.62569002390
13      41.89124836740  -87.62083347310
14      41.88726335480  -87.64508089650
15      41.88732980260  -87.64020044920
16      41.88739907310  -87.63531466030
17      41.88745836270  -87.63043066950
18      41.88752935600  -87.62556377770
19      41.88784799860  -87.61722219390
20      41.88361500810  -87.64496980430
21      41.88368368460  -87.64008955400
22      41.88375022070  -87.63520672260
23      41.88380789590  -87.63032509130
24      41.88388080750  -87.62544399950
25      41.88419149880  -87.61875692660
26      41.87995256240  -87.64485046930
27      41.88001919640  -87.63997365930
28      41.88007580010  -87.63510521280
29      41.88013797130  -87.63023077520
30      41.88020509960  -87.62536066160
31      41.87846859360  -87.61974892400
32      41.87628928570  -87.64473401590
33      41.87635222430  -87.63986486000
34      41.87641244420  -87.63500471240
35      41.87648061210  -87.63013652400
36      41.87654428020  -87.62528628990
37      41.87254508330  -87.64460848340
38      41.87262863790  -87.63975127130
39      41.87269470540  -87.63490011690
40      41.87276095810  -87.63003863730
41      41.87281721300  -87.62521527030
42      41.87105221500  -87.61950393490
43      41.86888269030  -87.64448138220
44      41.86896274970  -87.63962539830
45      41.86903265200  -87.63480061950
46      41.86910107650  -87.62995010000
47      41.86915633600  -87.62515121100
48      41.90702171880  -87.66273789330
49      41.90716495630  -87.65305065310
50      41.90731021230  -87.64334287810
51      41.90745871900  -87.63361869110
52      41.90751741780  -87.62635137310
53      41.89976601000  -87.66251981960
54      41.89990530550  -87.65280790660
55      41.90004190400  -87.64307362580
56      41.90017688520  -87.63331729350
57      41.89945485530  -87.62235892790
58      41.89249468880  -87.66228777140
59      41.89263962800  -87.65256694570
60      41.88518905410  -87.66203949190
61      41.88534520730  -87.65232351000
62      41.87787220070  -87.66180902030
63      41.87803065090  -87.65209653580
64      41.87054522200  -87.66159997170
65      41.87069782850  -87.65188378020
66      41.86325090620  -87.66142045260
67      41.86340257430  -87.65169195170
68      41.86354965440  -87.64197952700
69      41.86368473780  -87.63228640820
70      41.86380609810  -87.62257763450
71      41.86373099130  -87.61280381850
72      41.85599153090  -87.66126825720
73      41.85614699160  -87.65151863140
74      41.85629124740  -87.64179857230
75      41.85642089680  -87.63211015080
76      41.85653041590  -87.62240530170
77      41.85659666090  -87.61201206670
78      41.91771770040  -87.67770626300
79      41.91799562800  -87.65824215670
80      41.91802368260  -87.63742427400
81      41.90318142390  -87.67728355120
82      41.88860561960  -87.67683375270
83      41.87399942870  -87.67640090020
84      41.85943424740  -87.67603735520
85      41.84493259060  -87.67565423640
86      41.84517757910  -87.65617531310
87      41.84543665720  -87.63671408390
88      41.84553704410  -87.61795718140
89      42.00103023630  -87.93039228030
90      42.00153793690  -87.91229349750
91      42.00214392970  -87.89429512190
92      41.97982329870  -87.90792657300
93      41.97643685240  -87.88575795910
94      41.99137685390  -87.88092579380
95      41.97675423130  -87.87124899720
96      41.95784056450  -87.91267725720
97      41.95807283930  -87.89533359850
98      41.98836978880  -87.85646774940
99      41.98883742460  -87.83663759230
100     41.97342728520  -87.85651621880
101     41.97387533570  -87.83664746070
102     41.95888083030  -87.85641193740
103     41.95938877870  -87.83664455720
104     41.94436371670  -87.85592596610
105     41.94480892470  -87.83631227030
106     42.01876016260  -87.81633813300
107     42.00423663200  -87.81648824510
108     41.98924826170  -87.81683698360
109     41.97426478770  -87.81693278390
110     41.94522766550  -87.81680826650
111     42.00457267180  -87.79690610490
112     42.00461690760  -87.77740716300
113     42.00455968220  -87.75798646650
114     42.01931197400  -87.69953425720
115     42.01956357770  -87.68049257940
116     42.01909705900  -87.66700091420
117     42.00476288660  -87.69962177800
118     42.00519470430  -87.68030213080
119     42.00473997240  -87.66377702380
120     41.99006001490  -87.79723751920
121     41.99009325300  -87.77789885930
122     41.98997875360  -87.75818317980
123     41.98996120370  -87.73851466440
124     41.99012106890  -87.71893445520
125     41.99030134030  -87.69939746550
126     41.97559916720  -87.79746613960
127     41.97539184770  -87.77788195380
128     41.97535542390  -87.75815515890
129     41.97542369830  -87.73812232490
130     41.97561036760  -87.71850784960
131     41.97578217190  -87.69895674420
132     41.96045248120  -87.79718197590
133     41.96062660420  -87.77738596090
134     41.96059413390  -87.75741592820
135     41.96084059860  -87.73771785790
136     41.96104972780  -87.71810515560
137     41.96123548340  -87.69849822230
138     41.94550472400  -87.79666930780
139     41.94571802840  -87.77655121980
140     41.94598152760  -87.75695667680
141     41.94623842860  -87.73728629880
142     41.94648416510  -87.71765113610
143     41.94665435600  -87.69808090680
144     41.93089131150  -87.79609701250
145     41.93111748460  -87.77599636010
146     41.93135102360  -87.75643640610
147     41.93165098170  -87.73681204390
148     41.93188698540  -87.71722608960
149     41.93208185980  -87.69766816440
150     41.91628604540  -87.79561255360
151     41.91649968350  -87.77547997800
152     41.91675227160  -87.75595328640
153     41.91701694880  -87.73637187750
154     41.91729300100  -87.71678304450
155     41.91749937760  -87.69724187530
156     41.99060032060  -87.67989557010
157     41.99080925090  -87.66122758400
